plugin,dependency_id,type,declared_hardness,declared_min_version,check_command,check_mcp,check_tool,auto_install_declared,used_by,declared_fallback,source_path
design,node,cli,hard,20.0.0,node --version,,,False,commands/init.md; commands/browse.md; dev-server/server.ts,,plugins/design/dependencies.json
design,git,cli,hard,,git --version,,,False,commands/init.md; dev-server/collab/git-lifecycle.ts,,plugins/design/dependencies.json
design,bun,cli,hard,1.3.0,bun --version,,,False,dev-server/package.json; dev-server/build.ts; dev-server/bin/smoke.sh,"dev-server is migrating to Bun authoritatively (DDR-009). Some build steps (bun run build.ts, bun test) require Bun and have no Node fallback.",plugins/design/dependencies.json
design,agent-browser,cli,soft,,agent-browser --version,,,True,commands/screenshot.md; commands/new.md; commands/edit.md; commands/smoke.md; commands/board.md; dev-server/bin/screenshot.sh; dev-server/bin/smoke.sh; dev-server/bin/canvas-rects.sh; agents/design-critic.md; agents/graphic-design-critic.md; agents/a11y-critic.md,"Screenshot helpers fall back to `npx playwright` (slower, less reliable). /design:smoke and several critics need agent-browser for full coverage. On the Maude DESKTOP app it is BUNDLED (externalBin, DDR-144) and its Chromium engine is provisioned as chrome-headless-shell by `maude design ensure-browser` — screenshots work zero-install there; this soft/manual note applies to the web `maude design serve` + CLI paths.",plugins/design/dependencies.json
design,playwright,cli,soft,,npx --no-install playwright --version,,,False,dev-server/bin/_pw-launch.mjs; dev-server/bin/_screenshot-playwright.mjs; dev-server/bin/_png-playwright.mjs; dev-server/bin/_pdf-playwright.mjs; dev-server/bin/_svg-playwright.mjs; dev-server/bin/_html-playwright.mjs; dev-server/bin/_pptx-playwright.mjs; dev-server/bin/_enumerate-artboards-playwright.mjs; dev-server/bin/screenshot.sh; dev-server/bin/_canvas-rects-playwright.mjs; dev-server/bin/canvas-rects.sh,"Screenshot scripts use playwright as a fallback when agent-browser is missing. The rendered export formats (PNG/PDF/SVG/HTML/PPTX/Canva) require it outright. NOTE: the `--version` check above only proves the npm package resolves — the Chromium BINARY is a separate install (`npx playwright install chromium`). If it's missing, exports fail at runtime with an actionable message from dev-server/bin/_pw-launch.mjs; screenshot helpers fall back to agent-browser.",plugins/design/dependencies.json
design,svg2pptx,cli,soft,,svg2pptx --version,,,False,dev-server/exporters/pptx.ts,"PPTX/Canva export uses svg2pptx (Python) to emit NATIVE, editable PowerPoint shapes + text boxes from the artboard SVG — editable in PowerPoint / Keynote / Canva. Without it (or python3), export falls back to a non-editable PNG-per-slide deck (faithful, universal, Canva-safe). Set MAUDE_SVG2PPTX to a custom svg2pptx executable (e.g. a venv path, or `python3 -m svg2pptx`) when it isn't on PATH. See DDR-069.",plugins/design/dependencies.json
design,maude,cli,soft,,maude --version,,,False,commands/init.md; skills/design/SKILL.md,Slash commands still work; `maude` CLI provides faster scaffolding (init / config / design serve) without going through Claude.,plugins/design/dependencies.json
design,kg,cli,soft,,kg version,,,False,skills/design-system/SKILL.md; commands/edit.md,Design DS/canvas/brand decisions are not recorded to the kgai graph; the classic .ai/ path (via /flow:record-ddr) and on-disk sidecars are unchanged.,plugins/design/dependencies.json
design,jq,system-tool,soft,,jq --version,,,False,dev-server/bin/bootstrap-check.sh; dev-server/bin/server-up.sh; dev-server/bin/canvas-rects.sh,Slash commands' bash blocks that read .ai/workflows.config.json via jq degrade to inline node one-liners; harder to read but functional.,plugins/design/dependencies.json
design,askuserquestion-mcp,mcp,soft,,,AskUserQuestion,ask,False,skills/design-system/SKILL.md; commands/setup-ds.md; commands/new.md,"Discovery + critic-panel rounds fall back to numbered-prose chat. Slower, fewer options per round, no preview side-pane.",plugins/design/dependencies.json
